# Pin Out For CertusPro-NX 100K,,,,,,,,,,,,,
# Revision 0.9,,,,,,,,,,,,,
"# Revised Mar, 8, 2021",,,,,,,,,,,,,
# Revision 0.91,,,,,,,,,,,,,
"# Revised Apr, 8, 2021",,,,,,,,,,,,,
# Add ASG256 Package,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,
"# Revised Aug, 11, 2021",,,,,,,,,,,,,
# Add CBG256 and BFG484 Package,,,,,,,,,,,,,
,,,,,,,,,,,,,
PADN,Pin/Ball Funcion,CUST_NAME,BANK, Dual Function,LVDS,HIGHSPEED,DQS,BBG484,LFG672,ASG256,CBG256,BFG484,
655,PR51A,-,2,EIO,True_OF_PR51B,-,-,N11,V3,-,-,N11,
656,PR51B,-,2,EIO,Comp_OF_PR51A,-,-,N12,V4,-,-,N12,
659,PR49A,-,2,EIO,True_OF_PR49B,-,-,M14,V1,-,-,M14,
660,PR49B,-,2,EIO,Comp_OF_PR49A,-,-,M13,V2,-,-,M13,
663,PR47A,-,2,EIO,True_OF_PR47B,-,-,M17,V8,-,-,M17,
664,PR47B,-,2,EIO,Comp_OF_PR47A,-,-,M18,V7,-,-,M18,
668,PR46A,-,2,PCLKT2_2/EIO,True_OF_PR46B,-,-,M20,U6,K1,J3,M20,
669,PR46B,-,2,EIO,Comp_OF_PR46A,-,-,N20,U7,J1,J2,N20,
674,PR44A,-,2,PCLKT2_1/EIO,True_OF_PR44B,-,-,M22,U2,K2,J5,M22,
675,PR44B,-,2,EIO,Comp_OF_PR44A,-,-,M21,U3,J2,J4,M21,
679,PR42A,-,2,PCLKT2_0/EIO,True_OF_PR42B,-,-,L12,T1,J7,J7,L12,
680,PR42B,-,2,EIO,Comp_OF_PR42A,-,-,M12,U1,J6,J6,M12,
683,PR40A,-,2,EIO,True_OF_PR40B,-,-,L14,T3,-,-,L14,
684,PR40B,-,2,EIO,Comp_OF_PR40A,-,-,L13,T2,-,-,L13,
687,PR38A,-,1,EIO,True_OF_PR38B,-,-,K22,T5,-,-,K22,
688,PR38B,-,1,EIO,Comp_OF_PR38A,-,-,L22,T4,-,-,L22,
690,PR35A,-,1,EIO,True_OF_PR35B,-,-,L20,T7,-,-,L20,
691,PR35B,-,1,EIO,Comp_OF_PR35A,-,-,L21,T6,-,-,L21,
695,PR33A,-,1,EIO,True_OF_PR33B,-,-,L18,U8,-,-,L18,
696,PR33B,-,1,EIO,Comp_OF_PR33A,-,-,L19,T8,-,-,L19,
700,PR31A,-,1,PCLKT1_0/EIO,True_OF_PR31B,-,-,L16,R8,G1,G2,L16,
701,PR31B,-,1,EIO,Comp_OF_PR31A,-,-,L15,R9,H1,H1,L15,
705,PR29A,-,1,PCLKT1_1/EIO,True_OF_PR29B,-,-,K20,R6,H3,H3,K20,
706,PR29B,-,1,EIO,Comp_OF_PR29A,-,-,K21,R7,H2,H2,K21,
710,PR28A,-,1,PCLKT1_2/EIO,True_OF_PR28B,-,-,K18,R4,H5,H5,K18,
711,PR28B,-,1,EIO,Comp_OF_PR28A,-,-,K19,R5,H4,H4,K19,
716,PR26A,-,1,EIO,True_OF_PR26B,-,-,K14,P9,-,-,K14,
717,PR26B,-,1,EIO,Comp_OF_PR26A,-,-,K15,P8,-,-,K15,
722,PR24A,-,1,EIO,True_OF_PR24B,-,-,K12,N9,-,-,K12,
723,PR24B,-,1,EIO,Comp_OF_PR24A,-,-,K11,N8,-,-,K11,
726,PR22A,-,1,EIO,True_OF_PR22B,-,-,J13,N6,-,-,J13,
727,PR22B,-,1,EIO,Comp_OF_PR22A,-,-,K13,N7,-,-,K13,
730,PR20A,-,1,EIO,True_OF_PR20B,-,-,J21,N4,-,-,J21,
731,PR20B,-,1,EIO,Comp_OF_PR20A,-,-,J22,N5,-,-,J22,
736,PR19A,-,1,SD14,True_OF_PR19B,-,-,J20,N2,H7,H7,J20,
737,PR19B,-,1,SD15,Comp_OF_PR19A,-,-,J19,N3,H6,H6,J19,
742,PR17A,-,1,SD12,True_OF_PR17B,-,-,J17,M1,G3,G4,J17,
743,PR17B,-,1,SD13,Comp_OF_PR17A,-,-,H17,N1,G2,G3,H17,
750,PR15A,-,1,SD9,True_OF_PR15B,-,-,J16,M3,G6,G6,J16,
751,PR15B,-,1,SD8,Comp_OF_PR15A,-,-,K17,M2,G5,G5,K17,
757,PR13A,-,1,TCK/SCLK/PMU_EXT_CLK,True_OF_PR13B,-,-,H21,M5,E1,E2,H21,
758,PR13B,-,1,PMU_WAKEUPN/SD11/S4_OUT,Comp_OF_PR13A,-,-,H22,M4,F1,F2,H22,
765,PR11A,-,1,SD3/SDA/USER_SDA/S4_IN,True_OF_PR11B,-,-,G20,M6,E2,E3,G20,
766,PR11B,-,1,SD2/SCL/USER_SCL/S3_IN,Comp_OF_PR11A,-,-,H20,M7,F2,F3,H20,
771,PR10A,-,1,EIO,True_OF_PR10B,-,-,J14,M9,E3,E4,J14,
772,PR10B,-,1,TDO/SSO/SD1/S3_OUT,Comp_OF_PR10A,-,-,J15,M8,F3,F4,J15,
776,PR8A,-,1,EIO,True_OF_PR8B,-,-,H14,L8,F6,F6,H14,
777,PR8B,-,1,TDI/SSI/SD0/S5_OUT,Comp_OF_PR8A,-,-,H15,L9,F5,F5,H15,
780,PR6A,-,1,URC_GPLL0T_MFGOUT1/EIO,True_OF_PR6B,-,-,G18,L6,F7,F7,G18,
781,PR6B,-,1,TMS/SCSN/URC_GPLL0T_MFGOUT2/S5_IN,Comp_OF_PR6A,-,-,G19,L7,G7,G7,G19,
785,PR4A,-,1,URC_GPLL0_IN/S8_OUT/EIO,True_OF_PR4B,-,-,G17,L2,F10,F10,G17,
786,PR4B,-,1,SD10,Comp_OF_PR4A,-,-,H16,L3,F9,F9,H16,
789,JTAG_EN,-,1,-,-,-,-,F16,K1,D6,D6,F16,
790,PR3B,-,1,S8_IN/EIO,-,-,-,G16,L1,E6,E6,G16,
818,PT156B,-,0,-,Comp_OF_PT156A,-,-,G22,K2,-,-,G22,
820,PT156A,-,0,-,True_OF_PT156B,-,-,F22,K3,-,-,F22,
821,PT154B,-,0,-,Comp_OF_PT154A,-,-,F21,K4,-,-,F21,
823,PT154A,-,0,-,True_OF_PT154B,-,-,E21,K6,-,-,E21,
825,PT152B,-,0,-,Comp_OF_PT152A,-,-,E22,K7,-,-,E22,
826,PT152A,-,0,-,True_OF_PT152B,-,-,D22,K8,-,-,D22,
828,PT150B,-,0,-,Comp_OF_PT150A,-,-,F20,J7,-,-,F20,
829,PT150A,-,0,-,True_OF_PT150B,-,-,G21,J6,-,-,G21,
833,PT148B,-,0,-,Comp_OF_PT148A,-,-,F18,J5,-,-,F18,
834,PT148A,-,0,-,True_OF_PT148B,-,-,F19,J3,-,-,F19,
836,PT146B,-,0,-,Comp_OF_PT146A,-,-,D19,J2,-,-,D19,
838,PT146A,-,0,-,True_OF_PT146B,-,-,D18,J1,-,-,D18,
842,PT144B,-,0,S7_OUT,Comp_OF_PT144A,-,-,D21,H1,C1,D1,D21,
846,PT144A,-,0,S7_IN,True_OF_PT144B,-,-,D20,H2,C2,D2,D20,
850,PT142B,-,0,MCSNO/MSDO/S6_OUT,Comp_OF_PT142A,-,-,E17,H3,D1,D3,E17,
854,PT142A,-,0,MD3/SD7/S6_IN/OSC_BURST,True_OF_PT142B,-,-,E16,H4,D2,D4,E16,
856,PT140B,-,0,MD2/SD6/S2_OUT,Comp_OF_PT140A,-,-,C22,K5,C3,C1,C22,
860,PT140A,-,0,MISO/MD1/SD5/S2_IN/OSC_HI,True_OF_PT140B,-,-,C21,H6,C4,C2,C21,
862,PT138B,-,0,MOSI/MD0/SD4/S1_OUT,Comp_OF_PT138A,-,-,E18,H7,D3,D5,E18,
869,PT138A,-,0,MCSN/S1_IN/PCLKT0_1,True_OF_PT138B,-,-,F17,G7,D4,E5,F17,
872,PT136B,-,0,DONE/S0_OUT,Comp_OF_PT136A,-,-,E15,G5,D5,D7,E15,
876,PT136A,-,0,MCLK/PCLKT0_0/S0_IN,True_OF_PT136B,-,-,F15,G6,E5,E7,F15,
878,PT134B,-,0,PROGRAMN,Comp_OF_PT134A,-,-,C20,G4,D7,C3,C20,
881,PT134A,-,0,INITN,True_OF_PT134B,-,-,C19,G2,E7,C4,C19,
887,SD_EXT1_REFCLKN,-,83,-,Comp_OF_SD_EXT1_REFCLKP,-,-,B22,D9,B1,B1,B22,
892,SD_EXT1_REFCLKP,-,83,-,True_OF_SD_EXT1_REFCLKN,-,-,A21,E10,A2,A2,A21,
897,SD_EXT0_REFCLKN,-,83,-,Comp_OF_SD_EXT0_REFCLKP,-,-,B20,E11,B3,B3,B20,
903,SD_EXT0_REFCLKP,-,83,-,True_OF_SD_EXT0_REFCLKN,-,-,B21,D11,B2,B2,B21,
910,SD7_TXDN,-,81,-,Comp_OF_SD7_TXDP,-,-,A19,A8,-,-,-,
915,SD7_TXDP,-,81,-,True_OF_SD7_TXDN,-,-,A18,A9,-,-,-,
917,SD7_REFRET,-,81,-,-,-,-,D16,E12,-,-,-,
927,SD7_RXDN,-,81,-,Comp_OF_SD7_RXDP,-,-,C17,C10,-,-,-,
932,SD7_RXDP,-,81,-,True_OF_SD7_RXDN,-,-,B17,B10,-,-,-,
936,SD7_REXT,-,81,-,-,-,-,D14,E13,-,-,-,
945,SD6_TXDN,-,81,-,Comp_OF_SD6_TXDP,-,-,A16,A11,-,-,-,
949,SD6_TXDP,-,81,-,True_OF_SD6_TXDN,-,-,A15,A12,-,-,-,
951,SD6_REFRET,-,81,-,-,-,-,E13,E15,-,-,-,
960,SD6_RXDN,-,81,-,Comp_OF_SD6_RXDP,-,-,C15,C12,-,-,-,
965,SD6_RXDP,-,81,-,True_OF_SD6_RXDN,-,-,B14,B13,-,-,-,
969,SD6_REXT,-,81,-,-,-,-,E12,D15,-,-,-,
973,SDQ1_REFCLKN,-,81,-,Comp_OF_SDQ1_REFCLKP,-,-,D12,D13,-,-,-,
979,SDQ1_REFCLKP,-,81,-,True_OF_SDQ1_REFCLKN,-,-,C13,C14,-,-,-,
987,SD5_TXDN,-,81,-,Comp_OF_SD5_TXDP,-,-,A13,A14,-,-,-,
990,SD5_TXDP,-,81,-,True_OF_SD5_TXDN,-,-,A12,A15,-,-,-,
992,SD5_REFRET,-,81,-,-,-,-,D11,J15,-,-,-,
1000,SD5_RXDN,-,81,-,Comp_OF_SD5_RXDP,-,-,B11,B16,-,-,-,
1005,SD5_RXDP,-,81,-,True_OF_SD5_RXDN,-,-,C11,C16,-,-,-,
1011,SD5_REXT,-,81,-,-,-,-,F12,K15,-,-,-,
1020,SD4_TXDN,-,81,-,Comp_OF_SD4_TXDP,-,-,A10,A17,-,-,-,
1024,SD4_TXDP,-,81,-,True_OF_SD4_TXDN,-,-,A9,A18,-,-,-,
1026,SD4_REFRET,-,81,-,-,-,-,E10,E17,-,-,-,
1034,SD4_RXDN,-,81,-,Comp_OF_SD4_RXDP,-,-,B7,B19,-,-,-,
1039,SD4_RXDP,-,81,-,True_OF_SD4_RXDN,-,-,B8,B20,-,-,-,
1043,SD4_REXT,-,81,-,-,-,-,F10,D17,-,-,-,
1072,SD3_TXDN,-,80,-,Comp_OF_SD3_TXDP,-,-,A6,A21,A5,A5,C17,
1075,SD3_TXDP,-,80,-,True_OF_SD3_TXDN,-,-,A5,A22,A6,A6,B17,
1077,SD3_REFRET,-,80,-,-,-,-,D9,D18,B8,D8,C13,
1087,SD3_RXDN,-,80,-,Comp_OF_SD3_RXDP,-,-,C5,C22,C5,C6,B14,
1092,SD3_RXDP,-,80,-,True_OF_SD3_RXDN,-,-,C6,C21,C6,C5,C15,
1096,SD3_REXT,-,80,-,-,-,-,E9,C18,B6,E8,E11,
1106,SD2_TXDN,-,80,-,Comp_OF_SD2_TXDP,-,-,A3,A24,A8,A8,A16,
1109,SD2_TXDP,-,80,-,True_OF_SD2_TXDN,-,-,A2,A25,A9,A9,A15,
1111,SD2_REFRET,-,80,-,-,-,-,E8,E19,D8,C9,D11,
1121,SD2_RXDN,-,80,-,Comp_OF_SD2_RXDP,-,-,B4,B23,C9,B7,C11,
1126,SD2_RXDP,-,80,-,True_OF_SD2_RXDN,-,-,C3,C24,C8,C8,B11,
1130,SD2_REXT,-,80,-,-,-,-,F8,D19,E8,D9,F10,
1136,SDQ0_REFCLKN,-,80,-,Comp_OF_SDQ0_REFCLKP,-,-,E7,E20,D10,E10,E7,
1140,SDQ0_REFCLKP,-,80,-,True_OF_SDQ0_REFCLKN,-,-,D7,F20,E10,D10,D7,
1147,SD1_TXDN,-,80,-,Comp_OF_SD1_TXDP,-,-,F1,B26,A11,A11,A12,
1150,SD1_TXDP,-,80,-,True_OF_SD1_TXDN,-,-,E1,C26,A12,A12,A13,
1152,SD1_REFRET,-,80,-,-,-,-,D6,G21,B12,C12,D10,
1161,SD1_RXDN,-,80,-,Comp_OF_SD1_RXDP,-,-,G3,D25,B10,B10,B8,
1166,SD1_RXDP,-,80,-,True_OF_SD1_RXDN,-,-,G2,E24,C11,C11,B7,
1170,SD1_REXT,-,80,-,-,-,-,E6,G20,B13,C13,D8,
1179,SD0_TXDN,-,80,-,Comp_OF_SD0_TXDP,-,-,C1,E26,A14,A14,A10,
1184,SD0_TXDP,-,80,-,True_OF_SD0_TXDN,-,-,B1,F26,A15,A15,A9,
1186,SD0_REFRET,-,80,-,-,-,-,D4,E22,C15,C15,E9,
1196,SD0_RXDN,-,80,-,Comp_OF_SD0_RXDP,-,-,D2,G25,C14,B13,A6,
1201,SD0_RXDP,-,80,-,True_OF_SD0_RXDN,-,-,E3,G24,C13,C14,A5,
1205,SD0_REXT,-,80,-,-,-,-,E5,E21,C16,C16,F8,
0,VSS,-,-,-,-,-,-,AB22,R24,T16,H16,AB1,
0,VSS,-,-,-,-,-,-,E20,Y24,G13,T16,AB22,
0,VSS,-,-,-,-,-,-,W20,AD24,J13,J15,E20,
0,VSS,-,-,-,-,-,-,M19,K23,N13,D12,G14,
0,VSS,-,-,-,-,-,-,H18,M21,D12,R11,H2,
0,VSS,-,-,-,-,-,-,L17,U21,N11,M10,H18,
0,VSS,-,-,-,-,-,-,W17,AB21,G8,G8,J5,
0,VSS,-,-,-,-,-,-,N16,AE20,N8,M8,J11,
0,VSS,-,-,-,-,-,-,G14,M17,P6,P7,L7,
0,VSS,-,-,-,-,-,-,R13,P17,F4,F1,L17,
0,VSS,-,-,-,-,-,-,P12,T17,J4,K1,M19,
0,VSS,-,-,-,-,-,-,W12,AC17,P4,T1,N16,
0,VSS,-,-,-,-,-,-,J11,-,T1,-,P6,
0,VSS,-,-,-,-,-,-,P11,N16,-,-,P11,
0,VSS,-,-,-,-,-,-,R11,R16,-,-,P12,
0,VSS,-,-,-,-,-,-,-,U16,-,-,R11,
0,VSS,-,-,-,-,-,-,W9,M15,-,-,R13,
0,VSS,-,-,-,-,-,-,L7,P15,-,-,U6,
0,VSS,-,-,-,-,-,-,P6,T15,-,-,U15,
0,VSS,-,-,-,-,-,-,J5,N14,-,-,V5,
0,VSS,-,-,-,-,-,-,W4,R14,-,-,V12,
0,VSS,-,-,-,-,-,-,V3,U14,-,-,W9,
0,VSS,-,-,-,-,-,-,H2,AC14,-,-,W20,
0,VSS,-,-,-,-,-,-,AB1,L13,-,-,-,
0,VSS,-,-,-,-,-,-,-,M13,-,-,-,
0,VSS,-,-,-,-,-,-,-,P13,-,-,-,
0,VSS,-,-,-,-,-,-,-,T13,-,-,-,
0,VSS,-,-,-,-,-,-,-,V13,-,-,-,
0,VSS,-,-,-,-,-,-,-,N12,-,-,-,
0,VSS,-,-,-,-,-,-,-,R12,-,-,-,
0,VSS,-,-,-,-,-,-,-,U12,-,-,-,
0,VSS,-,-,-,-,-,-,-,L11,-,-,-,
0,VSS,-,-,-,-,-,-,-,M11,-,-,-,
0,VSS,-,-,-,-,-,-,-,P11,-,-,-,
0,VSS,-,-,-,-,-,-,-,T11,-,-,-,
0,VSS,-,-,-,-,-,-,-,V11,-,-,-,
0,VSS,-,-,-,-,-,-,-,N10,-,-,-,
0,VSS,-,-,-,-,-,-,-,R10,-,-,-,
0,VSS,-,-,-,-,-,-,-,AC10,-,-,-,
0,VSS,-,-,-,-,-,-,-,U9,-,-,-,
0,VSS,-,-,-,-,-,-,-,AC8,-,-,-,
0,VSS,-,-,-,-,-,-,-,U5,-,-,-,
0,VSS,-,-,-,-,-,-,-,AC5,-,-,-,
0,VSS,-,-,-,-,-,-,-,J4,-,-,-,
0,VSS,-,-,-,-,-,-,-,L4,-,-,-,
0,VSS,-,-,-,-,-,-,-,P4,-,-,-,
0,VSS,-,-,-,-,-,-,-,Y3,-,-,-,
0,VSSADC,-,70,-,-,-,-,P16,AD2,N1,K3,P16,
0,VCC,-,-,-,-,-,-,P17,N17,H13,H15,G15,
0,VCC,-,-,-,-,-,-,K16,-,F8,F8,H3,
0,VCC,-,-,-,-,-,-,G15,P16,M8,L8,K7,
0,VCC,-,-,-,-,-,-,R12,T16,J3,K2,K16,
0,VCC,-,-,-,-,-,-,R10,L15,-,-,P7,
0,VCC,-,-,-,-,-,-,K7,N15,-,-,P17,
0,VCC,-,-,-,-,-,-,P7,R15,-,-,R10,
0,VCC,-,-,-,-,-,-,H3,M14,-,-,R12,
0,VCC,-,-,-,-,-,-,-,P14,-,-,-,
0,VCC,-,-,-,-,-,-,-,T14,-,-,-,
0,VCC,-,-,-,-,-,-,-,N13,-,-,-,
0,VCC,-,-,-,-,-,-,-,R13,-,-,-,
0,VCC,-,-,-,-,-,-,-,U13,-,-,-,
0,VCC,-,-,-,-,-,-,-,M12,-,-,-,
0,VCC,-,-,-,-,-,-,-,P12,-,-,-,
0,VCC,-,-,-,-,-,-,-,T12,-,-,-,
0,VCC,-,-,-,-,-,-,-,N11,-,-,-,
0,VCC,-,-,-,-,-,-,-,R11,-,-,-,
0,VCC,-,-,-,-,-,-,-,U11,-,-,-,
0,VCC,-,-,-,-,-,-,-,L10,-,-,-,
0,VCC,-,-,-,-,-,-,-,P10,-,-,-,
0,VCC,-,-,-,-,-,-,-,T10,-,-,-,
0,VCCECLK,VCC,-,-,-,-,-,T13,V16,N10,N10,T11,
0,VCCECLK,VCC,-,-,-,-,-,T11,V14,P7,N8,T13,
0,VCCECLK,VCC,-,-,-,-,-,-,V12,-,-,-,
0,VCCECLK,VCC,-,-,-,-,-,-,T9,-,-,-,
0,VCCADC18,-,70,-,-,-,-,P15,AC3,P1,K4,P15,
0,VCCAUX,-,-,-,-,-,-,N15,L17,H8,J14,J12,
0,VCCAUX,-,-,-,-,-,-,J12,R17,-,H8,N15,
0,VCCAUX,-,-,-,-,-,-,-,M10,-,-,-,
0,VCCAUX,-,-,-,-,-,-,-,U10,-,-,-,
0,VCCAUXA,VCCAUX,-,-,-,-,-,H11,L14,D13,D13,H11,
0,VCCAUXA,VCCAUX,-,-,-,-,-,-,L12,-,-,-,
0,VCCAUXH3,VCCAUX,-,-,-,-,-,V17,V10,T2,L1,T15,
0,VCCAUXH3,VCCAUX,-,-,-,-,-,-,V9,-,-,-,
0,VCCAUXH4,VCCAUX,-,-,-,-,-,V12,U15,N9,N7,U11,
0,VCCAUXH4,VCCAUX,-,-,-,-,-,-,V15,-,-,-,
0,VCCAUXH5,VCCAUX,-,-,-,-,-,V4,U17,N12,P11,T7,
0,VCCAUXH5,VCCAUX,-,-,-,-,-,-,V17,-,-,-,
0,VCCIO0,-,0,-,-,-,-,E19,H5,E4,E1,E19,
0,VCCIO1,-,1,-,-,-,-,H19,L5,G4,G1,H19,
0,VCCIO1,-,1,-,-,-,-,J18,P5,-,-,J18,
0,VCCIO2,-,2,-,-,-,-,N19,U4,J5,J1,N19,
0,VCCIO2,-,2,-,-,-,-,-,AA3,-,-,-,
0,VCCIO3,-,3,-,-,-,-,V20,AB10,P5,T2,V16,
0,VCCIO3,-,3,-,-,-,-,Y20,AB8,P3,R1,V20,
0,VCCIO3,-,3,-,-,-,-,Y17,AB5,-,-,Y20,
0,VCCIO4,-,4,-,-,-,-,Y12,AD19,M9,T11,V9,
0,VCCIO4,-,4,-,-,-,-,V9,AB17,P8,R7,W12,
0,VCCIO4,-,4,-,-,-,-,Y9,AB14,-,-,Y9,
0,VCCIO5,-,5,-,-,-,-,Y4,Y23,T15,R16,V4,
0,VCCIO5,-,5,-,-,-,-,V2,AC23,N14,T15,W5,
0,VCCIO5,-,5,-,-,-,-,-,AA21,-,-,-,
0,VCCIO6,-,6,-,-,-,-,P5,R23,J14,J16,P5,
0,VCCIO6,-,6,-,-,-,-,-,U20,-,-,-,
0,VCCIO7,-,7,-,-,-,-,K5,K22,F13,G16,J4,
0,VCCIO7,-,7,-,-,-,-,J4,M20,-,-,K5,
0,VCCAUXSDQ0,-,80,-,-,-,-,G9,J16,A4,A4,G9,
0,VCCAUXSDQ1,-,80,-,-,-,-,G13,J13,-,-,G13,
0,VCCSDCK,-,80,-,-,-,-,J10,M16,D11,D11,J10,
0,VCCPLLSD0,-,80,-,-,-,-,E4,F22,B15,B14,E6,
0,VCCPLLSD1,-,80,-,-,-,-,D5,G22,B11,B11,C9,
0,VCCPLLSD2,-,80,-,-,-,-,D8,F19,D9,B8,E10,
0,VCCPLLSD3,-,80,-,-,-,-,C9,E18,B7,B5,D12,
0,VCCPLLSD4,-,80,-,-,-,-,D10,E16,-,-,-,
0,VCCPLLSD5,-,80,-,-,-,-,E11,H15,-,-,-,
0,VCCPLLSD6,-,80,-,-,-,-,D13,F15,-,-,-,
0,VCCPLLSD7,-,80,-,-,-,-,D15,F12,-,-,-,
0,VCCSD0,-,80,-,-,-,-,F5,G19,B16,B16,F5,
0,VCCSD0,-,80,-,-,-,-,-,H19,-,-,-,
0,VCCSD1,-,80,-,-,-,-,F7,G18,A13,A13,F7,
0,VCCSD1,-,80,-,-,-,-,-,J18,-,-,-,
0,VCCSD2,-,80,-,-,-,-,H9,K17,A10,A10,H9,
0,VCCSD2,-,80,-,-,-,-,-,K16,-,-,-,
0,VCCSD3,-,80,-,-,-,-,G10,G17,A7,A7,G10,
0,VCCSD3,-,80,-,-,-,-,-,H17,-,-,-,
0,VCCSD4,-,80,-,-,-,-,G11,F17,-,-,-,
0,VCCSD4,-,80,-,-,-,-,-,F16,-,-,-,
0,VCCSD5,-,80,-,-,-,-,G12,H16,-,-,-,
0,VCCSD5,-,80,-,-,-,-,-,G15,-,-,-,
0,VCCSD6,-,80,-,-,-,-,H13,J14,-,-,-,
0,VCCSD6,-,80,-,-,-,-,-,K14,-,-,-,
0,VCCSD7,-,80,-,-,-,-,F14,G13,-,-,-,
0,VCCSD7,-,80,-,-,-,-,-,H13,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,A22,D26,A16,A16,A1,
0,VSSSDQ,-,-,-,-,-,-,A20,G26,B14,B15,A4,
0,VSSSDQ,-,-,-,-,-,-,B19,B25,D14,D14,A7,
0,VSSSDQ,-,-,-,-,-,-,B18,C25,C12,B12,A8,
0,VSSSDQ,-,-,-,-,-,-,C18,E25,E11,E11,A11,
0,VSSSDQ,-,-,-,-,-,-,A17,F25,C10,C10,A14,
0,VSSSDQ,-,-,-,-,-,-,D17,H25,B9,B9,A17,
0,VSSSDQ,-,-,-,-,-,-,B16,B24,E9,E9,A20,
0,VSSSDQ,-,-,-,-,-,-,C16,D24,C7,C7,A22,
0,VSSSDQ,-,-,-,-,-,-,B15,F24,B5,B6,B2,
0,VSSSDQ,-,-,-,-,-,-,A14,H24,B4,B4,B3,
0,VSSSDQ,-,-,-,-,-,-,C14,A23,A3,A3,B5,
0,VSSSDQ,-,-,-,-,-,-,E14,C23,A1,A1,B6,
0,VSSSDQ,-,-,-,-,-,-,B13,D23,-,-,B9,
0,VSSSDQ,-,-,-,-,-,-,F13,E23,-,-,B10,
0,VSSSDQ,-,-,-,-,-,-,B12,F23,-,-,B12,
0,VSSSDQ,-,-,-,-,-,-,C12,G23,-,-,B13,
0,VSSSDQ,-,-,-,-,-,-,H12,B22,-,-,B15,
0,VSSSDQ,-,-,-,-,-,-,A11,D22,-,-,B16,
0,VSSSDQ,-,-,-,-,-,-,F11,B21,-,-,B18,
0,VSSSDQ,-,-,-,-,-,-,B10,D21,-,-,B19,
0,VSSSDQ,-,-,-,-,-,-,C10,F21,-,-,C2,
0,VSSSDQ,-,-,-,-,-,-,H10,A20,-,-,C4,
0,VSSSDQ,-,-,-,-,-,-,B9,C20,-,-,C7,
0,VSSSDQ,-,-,-,-,-,-,F9,D20,-,-,C8,
0,VSSSDQ,-,-,-,-,-,-,A8,A19,-,-,C10,
0,VSSSDQ,-,-,-,-,-,-,C8,C19,-,-,C12,
0,VSSSDQ,-,-,-,-,-,-,G8,B18,-,-,C14,
0,VSSSDQ,-,-,-,-,-,-,A7,F18,-,-,C16,
0,VSSSDQ,-,-,-,-,-,-,C7,H18,-,-,C18,
0,VSSSDQ,-,-,-,-,-,-,B6,B17,-,-,D1,
0,VSSSDQ,-,-,-,-,-,-,F6,C17,-,-,D3,
0,VSSSDQ,-,-,-,-,-,-,B5,J17,-,-,D17,
0,VSSSDQ,-,-,-,-,-,-,A4,A16,-,-,E2,
0,VSSSDQ,-,-,-,-,-,-,C4,D16,-,-,E14,
0,VSSSDQ,-,-,-,-,-,-,F4,G16,-,-,F2,
0,VSSSDQ,-,-,-,-,-,-,G4,B15,-,-,F3,
0,VSSSDQ,-,-,-,-,-,-,B3,C15,-,-,F4,
0,VSSSDQ,-,-,-,-,-,-,D3,B14,-,-,F6,
0,VSSSDQ,-,-,-,-,-,-,F3,D14,-,-,F9,
0,VSSSDQ,-,-,-,-,-,-,B2,E14,-,-,F11,
0,VSSSDQ,-,-,-,-,-,-,C2,G14,-,-,F13,
0,VSSSDQ,-,-,-,-,-,-,E2,H14,-,-,G1,
0,VSSSDQ,-,-,-,-,-,-,F2,A13,-,-,G4,
0,VSSSDQ,-,-,-,-,-,-,A1,C13,-,-,G8,
0,VSSSDQ,-,-,-,-,-,-,D1,F13,-,-,H10,
0,VSSSDQ,-,-,-,-,-,-,G1,F14,-,-,H12,
0,VSSSDQ,-,-,-,-,-,-,-,K13,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,B12,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,D12,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,G12,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,J12,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,B11,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,C11,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,J11,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,A10,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,D10,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,F10,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,G10,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,B9,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,C9,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,B8,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,D8,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,F8,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,A7,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,C7,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,D7,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,F7,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,B6,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,D6,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,F6,-,-,-,
0,VSSSDQ,-,-,-,-,-,-,-,B5,-,-,-,
