# Pin Out For CertusPro-NX 100K,,,,,,,,,,,,,
# Revision 0.9,,,,,,,,,,,,,
"# Revised Mar, 8, 2021",,,,,,,,,,,,,
# Revision 0.91,,,,,,,,,,,,,
"# Revised Apr, 8, 2021",,,,,,,,,,,,,
# Add ASG256 Package,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,
"# Revised Aug, 11, 2021",,,,,,,,,,,,,
# Add CBG256 and BFG484 Package,,,,,,,,,,,,,
,,,,,,,,,,,,,
PADN,Pin/Ball Funcion,CUST_NAME,BANK, Dual Function,LVDS,HIGHSPEED,DQS,BBG484,LFG672,ASG256,CBG256,BFG484,
152,PL58B,-,6,EIO,Comp_OF_PL58A,-,-,P10,T18,-,-,P10,
157,PL60A,-,6,EIO,True_OF_PL60B,-,-,R1,U19,-,-,R1,
158,PL60B,-,6,EIO,Comp_OF_PL60A,-,-,R2,U18,-,-,R2,
161,PL62A,-,6,EIO,True_OF_PL62B,-,-,R3,U22,-,-,R3,
162,PL62B,-,6,EIO,Comp_OF_PL62A,-,-,R4,U23,-,-,R4,
166,PL64A,-,6,EIO,True_OF_PL64B,-,-,R5,U24,-,-,R5,
167,PL64B,-,6,EIO,Comp_OF_PL64A,-,-,R6,U25,-,-,R6,
170,PL65A,-,6,EIO,True_OF_PL65B,-,-,R7,V18,-,-,T6,
171,PL65B,-,6,EIO,Comp_OF_PL65A,-,-,T7,V19,-,-,R7,
174,PL67A,-,6,EIO,True_OF_PL67B,-,-,R8,V20,-,-,R8,
175,PL67B,-,6,EIO,Comp_OF_PL67A,-,-,R9,V21,-,-,R9,
213,PB2A,-,5,LLC_GPLL0T_IN/CDR_RXP0/VREF5_1/ADC_CP0/COMP1P,True_OF_PB2B,TRUE,BDQ6,T2,V24,M16,K15,T2,
218,PB4A,-,5,PCLKT5_0/LLC_GPLL0T_MFGOUT1/CDR_RXP1/ADC_CP1/COMP2P,True_OF_PB4B,TRUE,BDQ6,U5,V23,N16,L12,U4,
221,PB2B,-,5,LLC_GPLL0C_IN/CDR_RXN0/ADC_CN0/COMP1N,Comp_OF_PB2A,TRUE,BDQ6,U2,V25,M15,L15,T3,
