# Pinout for LFCPNX-100 ,,,,
,,,,
# Revision 0.1,,,,
# Status Preliminary,,,,
# Revised 9-Jan-24,,,,
# First extraction,,,,
,,,,
PADN,FNC,PADX,PADY,CBG256
129,VSS,-3987.09,-939.3129,VSS
130,VCC,-3987.09,-1007.2629,VCC
131,PL51A,-3784.1904,-1058.8113,Unused
132,PL51B,-3889.4436,-1058.8113,Unused
133,VSSIO6,-3987.09,-1075.2129,Unused
134,VSS,-3252.9321,-1142.8425,VSS
135,VCCIO6,-3987.09,-1143.1629,Unused
136,PL53A,-3784.1904,-1147.6863,Unused
137,PL53B,-3889.4436,-1147.6863,Unused
138,VSS,-3987.09,-1211.1129,VSS
139,VCC,-3252.9321,-1258.0425,VCC
140,VCCAUX,-3987.09,-1279.0629,VCCAUX
141,PL55A,-3784.1904,-1293.2613,Unused
142,PL55B,-3889.4436,-1293.2613,Unused
143,NC_VSSIO6,-3683.3904,-1346.8995,Unused
144,VSS,-3987.09,-1347.0129,VSS
145,PL56A,-3784.1904,-1382.1363,Unused
146,PL56B,-3889.4436,-1382.1363,Unused
147,NC_VSSIO6,-3683.3904,-1403.5995,Unused
148,VCCIO6,-3987.09,-1414.9629,Unused
149,VSSIO6,-3987.09,-1482.9129,VSS
150,NC_VCCIO6,-3683.3904,-1489.9995,Unused
151,PL58A,-3784.1904,-1511.5113,Unused
152,PL58B,-3889.4436,-1511.5113,Unused
153,NC_VSS,-3247.5321,-1518.8004,Unused
154,NC_VCCIO6,-3683.3904,-1546.6995,Unused
155,VSS,-3987.09,-1550.8629,VSS
156,VSS,-3252.9321,-1585.4004,VSS
157,PL60A,-3784.1904,-1600.3863,Unused
158,PL60B,-3889.4436,-1600.3863,Unused
159,VCC,-3987.09,-1618.8129,VCC
160,VSS,-3987.09,-1686.7629,VSS
161,PL62A,-3784.1904,-1689.2613,Unused
162,PL62B,-3889.4436,-1689.2613,Unused
163,VCC,-3252.9321,-1700.6004,VCC
164,VCC,-3987.09,-1754.7129,VCC
165,NC_VCC,-3247.5321,-1767.2004,Unused
166,PL64A,-3784.1904,-1778.1363,Unused
167,PL64B,-3889.4436,-1778.1363,Unused
168,VSSIO6,-3987.09,-1822.6629,VSS
169,VCCIO6,-3987.09,-1890.6129,VCCIO6
170,PL65A,-3784.1904,-1907.5113,Unused
171,PL65B,-3889.4436,-1907.5113,Unused
172,VSS,-3987.09,-1958.5629,VSS
173,NC_VCCAUX,-3667.1904,-1990.9863,Unused
174,PL67A,-3784.1904,-1996.3863,Unused
175,PL67B,-3889.4436,-1996.3863,Unused
176,VCCAUX,-3987.09,-2026.5129,VCCAUX
177,NC_VCCAUX,-3667.1904,-2047.6863,Unused
178,NC_VCC,-4005.1125,-3069.9297,Unused
179,VCC,-4005,-2907.6561,VCC
180,NC_VCCPLL_LLC,-3993.9588,-3150.9342,Unused
181,NC_VCCPLL_LLC,-3993.9588,-3208.5342,Unused
182,NC_VSS,-3993.9588,-3342.8331,Unused
183,VSS,-3993.7518,-2240.5428,VSS
184,VSS,-3993.7518,-2462.4702,VSS
185,NC_VSS,-3960.9018,-2166.7428,Unused
186,NC_VSS,-3960.9018,-2678.5476,Unused
187,NC_VSS,-3929.562,-3069.9297,Unused
188,VSS,-3929.4,-2907.6561,VSS
189,VCCPLL_LLC,-3921.7176,-3204.9342,VCC
190,VSS,-3921.7176,-3420.8469,VSS
191,NC_VCCCDR,-3897.0018,-2166.7428,Unused
192,NC_VCCCDR,-3897.0018,-2678.5476,Unused
193,VCCCDR,-3864.1518,-2240.5428,VCC
194,VCCCDR,-3864.1518,-2462.4702,VCC
195,NC_VCCCDR,-3831.3027,-2166.7428,Unused
196,NC_VCCCDR,-3831.3027,-2678.5476,Unused
197,VCCECLK,-3731.8734,-2797.3476,VCCECLK
198,VCCECLK,-3731.8734,-2872.0476,VCCECLK
199,NC_VCCECLK,-3665.2734,-2872.0476,Unused
200,VCC,-3506.4945,-3487.5,VCC
201,VSS,-3427.2945,-3487.5,VSS
202,UC_IOS18_CAL_DONE,-3412.3905,-2435.0562,Unused
203,UC_IOS18_FST_WK,-3391.6905,-2435.0562,Unused
204,NC_VSS,-3389.1354,-2897.7237,Unused
205,VSS,-3389.1354,-2964.3237,Unused
206,UC_IOS18_CALEN,-3370.9905,-2435.0562,Unused
207,UC_IOS18_WRT_NPLS,-3350.2905,-2435.0562,Unused
208,VCCECLK,-3348.0945,-3487.5,VCCECLK
209,NC_VCCECLK,-3300.9354,-2836.5237,Unused
210,NC_VCCECLK,-3300.9354,-2897.7237,Unused
211,VCCECLK,-3300.9354,-2964.3237,VCCECLK
212,VSS,-3269.7621,-3391.6536,VSS
213,PB2A,-3236.0445,-3266.9136,K15
214,NC_VCCAUXH5,-3235.5045,-3062.6136,Unused
215,NC_VCCAUXH5,-3235.5045,-3118.4136,Unused
216,NC_PB2A,-3235.5045,-3197.6136,Unused
217,VCCAUXH5,-3199.4694,-3487.5,VCCAUXH5
218,PB4A,-3158.9694,-3391.6536,L12
219,NC_PB4A,-3152.6694,-3118.4136,Unused
220,NC_PB2B,-3152.6694,-3197.6136,Unused
221,PB2B,-3147.2694,-3266.9136,L15
222,VSS,-3127.4694,-3487.5,VSS
223,NC_PB4B,-3071.6694,-3118.4136,Unused
224,VCC,-3066.354,-2338.1955,VCC
225,PB4B,-3065.8194,-3391.6536,K12
226,VCCIO5,-3055.4694,-3487.5,VCCIO5
227,PB6A,-3042.8694,-3266.9136,K16
